PlayerMessage,幸人,「いってて、あれ……ここはいったいどこだ？」,Yukito,
,幸人,「もうこんな時間か。待ち合わせ時間に遅れる前に学校に急ぐか。」,Yukito,
,,,,
HomeInterior1,幸人,（おもちゃ箱だ。）,Yukito,(It's a toy box.)
,,小さいときに遊んでいたおもちゃが捨てられずに残っている,,"Toys that I used to play with when I was little are still there, unable to be thrown away."
,,,,
HomeInterior3,幸人,（木製の大きなタンスだ）,Yukito,(It's a big wooden chest of drawers.)
,幸人,（学校には制服で行くためあまり用はない）,Yukito,(I don't have much use for this place since I go to school in uniform.)
,,,,
HomeInterior4,幸人,（つい先月買ってもらったテレビだ）,Yukito,(It's the TV I got just last month.)
,幸人,「今日見たかったアニメあったけど、時間もないし見れそうにないな」,Yukito,"""There was an anime I wanted to watch today, but I don't think I'll have time to watch it.”"
,,,,
HomeInterior5,幸人,（フカフカのソファーのようだ）,Yukito,(Looks like a fluffy couch)
,幸人,「ゆったりしている暇もないし、帰ってきてからここでだらだらしよう」,Yukito,"“We don't have time to relax, so let's just slack off here when we get back.”"
,,,,
HomeInterior5 (1),幸人,（フカフカのソファーのようだ）,Yukito,(Looks like a fluffy couch)
,幸人,「ゆったりしている暇もないし、帰ってきてからここでだらだらしよう」,Yukito,"“We don't have time to relax, so let's just slack off here when we get back.”"
,,,,
HomeInterior6,幸人,(妹がくれた花が花瓶に入っている),Yukito,(Flowers my sister gave me are in a vase.)
,幸人,「最近手入れしてないからちょっとしおれてきてるな、、、」,Yukito,“It's looking a little wilted because I haven't taken care of it lately...”
,,,,
HomeInterior7,幸人,（物置にしているクローゼットだ）,Yukito,(It's a closet I use for storage.)
,幸人,（上着のほかに、本屋バッグなどの雑貨が収納されている）,Yukito,"(In addition to the jacket, the bookstore bag and other miscellaneous items are stored)"
,,,,
HomeInterior8,幸人,（これは様々な雑貨をしまっている棚だ。）,Yukito,(These are the shelves that hold the various sundries.)
,幸人,「けっこうごちごちゃしてるしそろそろきれいにしないとな。」,Yukito,"“It's getting pretty messy, and it's time to clean it up.”"
,,,,
HomeInterior9,幸人,（ロフトへとつながる梯子が立てかけられている。）,Yukito,(A ladder leading to the loft is propped up.)
,幸人,「昔はベッドを使ってたけど、ロフトで寝るのは秘密基地感が合って好きだな。」,Yukito,"“I used to have a bed, but I like sleeping in the loft because it feels like a secret base.”"
,幸人,「今はちょっと眠いし、着替えて梯子上るのはだるいなぁ……。」,Yukito,"“I'm a little sleepy right now, and I'm too lazy to get dressed and go up the ladder......”"
,,,,
SchoolInterior (1),幸人,（鍵がついていて開きそうにない）,Yukito,(It's locked and unlikely to open)
,幸人,「なんで隣のロッカーだけ開いているんだ？」,Yukito,“Why is the locker next to it the only one open?”
,,,,
SchoolInterior (2),幸人,（中を覗いてみるとプラスチック用のゴミ箱のようだ）,Yukito,(A peek inside reveals what appears to be a trash can for plastic.)
,,,,
SchoolInterior (3),幸人,（中を覗くと可燃ごみ用のゴミ箱のようだ）,Yukito,(A peek inside reveals what appears to be a trash can for combustible trash.)
,幸人,「中には……何もないみたいだな。」,Yukito,“Looks like there's nothing inside .......”
,,,,
SchoolInterior (4),幸人,（薬品棚のようだ。見たこともない名前の薬品が並んでいる）,Yukito,"(It looks like a medicine cabinet, lined with drugs whose names I've never seen before.)"
,幸人,（扉を開けようとしても鍵がかかっているようだ）,Yukito,(It seems to be locked when I try to open it)
,,,,
SchoolInterior (5),幸人,（精巧な作りの人体模型だ。今にも動き出しそうな迫力がある）,Yukito,"(It looks like an elaborately made model of the human body, and has the power to seem as if it could start moving at any moment.)"
,幸人,「不気味だな。深夜の学校で一番見たくなかったぜ」,Yukito,"“It's creepy. That's the last thing I wanted to see at school late at night, man.”"
,,,,
